date_id,full_date,year,quarter,month,month_name,week,day_of_week,day_name,is_weekend
259,2023-09-16,2023,3,9,September,37,5,Saturday,1
260,2023-09-17,2023,3,9,September,37,6,Sunday,1
261,2023-09-18,2023,3,9,September,38,0,Monday,0
262,2023-09-19,2023,3,9,September,38,1,Tuesday,0
263,2023-09-20,2023,3,9,September,38,2,Wednesday,0
264,2023-09-21,2023,3,9,September,38,3,Thursday,0
265,2023-09-22,2023,3,9,September,38,4,Friday,0
266,2023-09-23,2023,3,9,September,38,5,Saturday,1
267,2023-09-24,2023,3,9,September,38,6,Sunday,1
268,2023-09-25,2023,3,9,September,39,0,Monday,0
269,2023-09-26,2023,3,9,September,39,1,Tuesday,0
270,2023-09-27,2023,3,9,September,39,2,Wednesday,0
271,2023-09-28,2023,3,9,September,39,3,Thursday,0
272,2023-09-29,2023,3,9,September,39,4,Friday,0
273,2023-09-30,2023,3,9,September,39,5,Saturday,1
274,2023-10-01,2023,4,10,October,39,6,Sunday,1
275,2023-10-02,2023,4,10,October,40,0,Monday,0
276,2023-10-03,2023,4,10,October,40,1,Tuesday,0
277,2023-10-04,2023,4,10,October,40,2,Wednesday,0
278,2023-10-05,2023,4,10,October,40,3,Thursday,0
279,2023-10-06,2023,4,10,October,40,4,Friday,0
280,2023-10-07,2023,4,10,October,40,5,Saturday,1
281,2023-10-08,2023,4,10,October,40,6,Sunday,1
282,2023-10-09,2023,4,10,October,41,0,Monday,0
283,2023-10-10,2023,4,10,October,41,1,Tuesday,0
284,2023-10-11,2023,4,10,October,41,2,Wednesday,0
285,2023-10-12,2023,4,10,October,41,3,Thursday,0
286,2023-10-13,2023,4,10,October,41,4,Friday,0
287,2023-10-14,2023,4,10,October,41,5,Saturday,1
288,2023-10-15,2023,4,10,October,41,6,Sunday,1
289,2023-10-16,2023,4,10,October,42,0,Monday,0
290,2023-10-17,2023,4,10,October,42,1,Tuesday,0
291,2023-10-18,2023,4,10,October,42,2,Wednesday,0
292,2023-10-19,2023,4,10,October,42,3,Thursday,0
293,2023-10-20,2023,4,10,October,42,4,Friday,0
294,2023-10-21,2023,4,10,October,42,5,Saturday,1
295,2023-10-22,2023,4,10,October,42,6,Sunday,1
296,2023-10-23,2023,4,10,October,43,0,Monday,0
297,2023-10-24,2023,4,10,October,43,1,Tuesday,0
298,2023-10-25,2023,4,10,October,43,2,Wednesday,0
299,2023-10-26,2023,4,10,October,43,3,Thursday,0
300,2023-10-27,2023,4,10,October,43,4,Friday,0
301,2023-10-28,2023,4,10,October,43,5,Saturday,1
302,2023-10-29,2023,4,10,October,43,6,Sunday,1
303,2023-10-30,2023,4,10,October,44,0,Monday,0
304,2023-10-31,2023,4,10,October,44,1,Tuesday,0
305,2023-11-01,2023,4,11,November,44,2,Wednesday,0
306,2023-11-02,2023,4,11,November,44,3,Thursday,0
307,2023-11-03,2023,4,11,November,44,4,Friday,0
308,2023-11-04,2023,4,11,November,44,5,Saturday,1
309,2023-11-05,2023,4,11,November,44,6,Sunday,1
310,2023-11-06,2023,4,11,November,45,0,Monday,0
311,2023-11-07,2023,4,11,November,45,1,Tuesday,0
312,2023-11-08,2023,4,11,November,45,2,Wednesday,0
313,2023-11-09,2023,4,11,November,45,3,Thursday,0
314,2023-11-10,2023,4,11,November,45,4,Friday,0
315,2023-11-11,2023,4,11,November,45,5,Saturday,1
316,2023-11-12,2023,4,11,November,45,6,Sunday,1
317,2023-11-13,2023,4,11,November,46,0,Monday,0
318,2023-11-14,2023,4,11,November,46,1,Tuesday,0
319,2023-11-15,2023,4,11,November,46,2,Wednesday,0
320,2023-11-16,2023,4,11,November,46,3,Thursday,0
321,2023-11-17,2023,4,11,November,46,4,Friday,0
322,2023-11-18,2023,4,11,November,46,5,Saturday,1
323,2023-11-19,2023,4,11,November,46,6,Sunday,1
324,2023-11-20,2023,4,11,November,47,0,Monday,0
325,2023-11-21,2023,4,11,November,47,1,Tuesday,0
326,2023-11-22,2023,4,11,November,47,2,Wednesday,0
327,2023-11-23,2023,4,11,November,47,3,Thursday,0
328,2023-11-24,2023,4,11,November,47,4,Friday,0
329,2023-11-25,2023,4,11,November,47,5,Saturday,1
330,2023-11-26,2023,4,11,November,47,6,Sunday,1
331,2023-11-27,2023,4,11,November,48,0,Monday,0
332,2023-11-28,2023,4,11,November,48,1,Tuesday,0
333,2023-11-29,2023,4,11,November,48,2,Wednesday,0
334,2023-11-30,2023,4,11,November,48,3,Thursday,0
335,2023-12-01,2023,4,12,December,48,4,Friday,0
336,2023-12-02,2023,4,12,December,48,5,Saturday,1
337,2023-12-03,2023,4,12,December,48,6,Sunday,1
338,2023-12-04,2023,4,12,December,49,0,Monday,0
339,2023-12-05,2023,4,12,December,49,1,Tuesday,0
340,2023-12-06,2023,4,12,December,49,2,Wednesday,0
341,2023-12-07,2023,4,12,December,49,3,Thursday,0
342,2023-12-08,2023,4,12,December,49,4,Friday,0
343,2023-12-09,2023,4,12,December,49,5,Saturday,1
344,2023-12-10,2023,4,12,December,49,6,Sunday,1
345,2023-12-11,2023,4,12,December,50,0,Monday,0
346,2023-12-12,2023,4,12,December,50,1,Tuesday,0
347,2023-12-13,2023,4,12,December,50,2,Wednesday,0
348,2023-12-14,2023,4,12,December,50,3,Thursday,0
349,2023-12-15,2023,4,12,December,50,4,Friday,0
350,2023-12-16,2023,4,12,December,50,5,Saturday,1
351,2023-12-17,2023,4,12,December,50,6,Sunday,1
352,2023-12-18,2023,4,12,December,51,0,Monday,0
353,2023-12-19,2023,4,12,December,51,1,Tuesday,0
354,2023-12-20,2023,4,12,December,51,2,Wednesday,0
355,2023-12-21,2023,4,12,December,51,3,Thursday,0
356,2023-12-22,2023,4,12,December,51,4,Friday,0
357,2023-12-23,2023,4,12,December,51,5,Saturday,1
358,2023-12-24,2023,4,12,December,51,6,Sunday,1
359,2023-12-25,2023,4,12,December,52,0,Monday,0
360,2023-12-26,2023,4,12,December,52,1,Tuesday,0
361,2023-12-27,2023,4,12,December,52,2,Wednesday,0
362,2023-12-28,2023,4,12,December,52,3,Thursday,0
363,2023-12-29,2023,4,12,December,52,4,Friday,0
364,2023-12-30,2023,4,12,December,52,5,Saturday,1
365,2023-12-31,2023,4,12,December,52,6,Sunday,1
366,2024-01-01,2024,1,1,January,1,0,Monday,0
367,2024-01-02,2024,1,1,January,1,1,Tuesday,0
368,2024-01-03,2024,1,1,January,1,2,Wednesday,0
369,2024-01-04,2024,1,1,January,1,3,Thursday,0
370,2024-01-05,2024,1,1,January,1,4,Friday,0
371,2024-01-06,2024,1,1,January,1,5,Saturday,1
372,2024-01-07,2024,1,1,January,1,6,Sunday,1
373,2024-01-08,2024,1,1,January,2,0,Monday,0
374,2024-01-09,2024,1,1,January,2,1,Tuesday,0
375,2024-01-10,2024,1,1,January,2,2,Wednesday,0
376,2024-01-11,2024,1,1,January,2,3,Thursday,0
377,2024-01-12,2024,1,1,January,2,4,Friday,0
378,2024-01-13,2024,1,1,January,2,5,Saturday,1
379,2024-01-14,2024,1,1,January,2,6,Sunday,1
380,2024-01-15,2024,1,1,January,3,0,Monday,0
381,2024-01-16,2024,1,1,January,3,1,Tuesday,0
382,2024-01-17,2024,1,1,January,3,2,Wednesday,0
383,2024-01-18,2024,1,1,January,3,3,Thursday,0
384,2024-01-19,2024,1,1,January,3,4,Friday,0
385,2024-01-20,2024,1,1,January,3,5,Saturday,1
386,2024-01-21,2024,1,1,January,3,6,Sunday,1
387,2024-01-22,2024,1,1,January,4,0,Monday,0
388,2024-01-23,2024,1,1,January,4,1,Tuesday,0
389,2024-01-24,2024,1,1,January,4,2,Wednesday,0
390,2024-01-25,2024,1,1,January,4,3,Thursday,0
391,2024-01-26,2024,1,1,January,4,4,Friday,0
392,2024-01-27,2024,1,1,January,4,5,Saturday,1
393,2024-01-28,2024,1,1,January,4,6,Sunday,1
394,2024-01-29,2024,1,1,January,5,0,Monday,0
395,2024-01-30,2024,1,1,January,5,1,Tuesday,0
396,2024-01-31,2024,1,1,January,5,2,Wednesday,0
397,2024-02-01,2024,1,2,February,5,3,Thursday,0
398,2024-02-02,2024,1,2,February,5,4,Friday,0
399,2024-02-03,2024,1,2,February,5,5,Saturday,1
400,2024-02-04,2024,1,2,February,5,6,Sunday,1
401,2024-02-05,2024,1,2,February,6,0,Monday,0
402,2024-02-06,2024,1,2,February,6,1,Tuesday,0
403,2024-02-07,2024,1,2,February,6,2,Wednesday,0
404,2024-02-08,2024,1,2,February,6,3,Thursday,0
405,2024-02-09,2024,1,2,February,6,4,Friday,0
406,2024-02-10,2024,1,2,February,6,5,Saturday,1
407,2024-02-11,2024,1,2,February,6,6,Sunday,1
408,2024-02-12,2024,1,2,February,7,0,Monday,0
409,2024-02-13,2024,1,2,February,7,1,Tuesday,0
410,2024-02-14,2024,1,2,February,7,2,Wednesday,0
411,2024-02-15,2024,1,2,February,7,3,Thursday,0
412,2024-02-16,2024,1,2,February,7,4,Friday,0
413,2024-02-17,2024,1,2,February,7,5,Saturday,1
414,2024-02-18,2024,1,2,February,7,6,Sunday,1
415,2024-02-19,2024,1,2,February,8,0,Monday,0
416,2024-02-20,2024,1,2,February,8,1,Tuesday,0
417,2024-02-21,2024,1,2,February,8,2,Wednesday,0
418,2024-02-22,2024,1,2,February,8,3,Thursday,0
419,2024-02-23,2024,1,2,February,8,4,Friday,0
420,2024-02-24,2024,1,2,February,8,5,Saturday,1
421,2024-02-25,2024,1,2,February,8,6,Sunday,1
422,2024-02-26,2024,1,2,February,9,0,Monday,0
423,2024-02-27,2024,1,2,February,9,1,Tuesday,0
424,2024-02-28,2024,1,2,February,9,2,Wednesday,0
425,2024-02-29,2024,1,2,February,9,3,Thursday,0
426,2024-03-01,2024,1,3,March,9,4,Friday,0
427,2024-03-02,2024,1,3,March,9,5,Saturday,1
428,2024-03-03,2024,1,3,March,9,6,Sunday,1
429,2024-03-04,2024,1,3,March,10,0,Monday,0
430,2024-03-05,2024,1,3,March,10,1,Tuesday,0
431,2024-03-06,2024,1,3,March,10,2,Wednesday,0
432,2024-03-07,2024,1,3,March,10,3,Thursday,0
433,2024-03-08,2024,1,3,March,10,4,Friday,0
434,2024-03-09,2024,1,3,March,10,5,Saturday,1
435,2024-03-10,2024,1,3,March,10,6,Sunday,1
436,2024-03-11,2024,1,3,March,11,0,Monday,0
437,2024-03-12,2024,1,3,March,11,1,Tuesday,0
438,2024-03-13,2024,1,3,March,11,2,Wednesday,0
439,2024-03-14,2024,1,3,March,11,3,Thursday,0
440,2024-03-15,2024,1,3,March,11,4,Friday,0
441,2024-03-16,2024,1,3,March,11,5,Saturday,1
442,2024-03-17,2024,1,3,March,11,6,Sunday,1
443,2024-03-18,2024,1,3,March,12,0,Monday,0
444,2024-03-19,2024,1,3,March,12,1,Tuesday,0
445,2024-03-20,2024,1,3,March,12,2,Wednesday,0
446,2024-03-21,2024,1,3,March,12,3,Thursday,0
447,2024-03-22,2024,1,3,March,12,4,Friday,0
448,2024-03-23,2024,1,3,March,12,5,Saturday,1
449,2024-03-24,2024,1,3,March,12,6,Sunday,1
450,2024-03-25,2024,1,3,March,13,0,Monday,0
451,2024-03-26,2024,1,3,March,13,1,Tuesday,0
452,2024-03-27,2024,1,3,March,13,2,Wednesday,0
453,2024-03-28,2024,1,3,March,13,3,Thursday,0
454,2024-03-29,2024,1,3,March,13,4,Friday,0
455,2024-03-30,2024,1,3,March,13,5,Saturday,1
456,2024-03-31,2024,1,3,March,13,6,Sunday,1
457,2024-04-01,2024,2,4,April,14,0,Monday,0
458,2024-04-02,2024,2,4,April,14,1,Tuesday,0
459,2024-04-03,2024,2,4,April,14,2,Wednesday,0
460,2024-04-04,2024,2,4,April,14,3,Thursday,0
461,2024-04-05,2024,2,4,April,14,4,Friday,0
462,2024-04-06,2024,2,4,April,14,5,Saturday,1
463,2024-04-07,2024,2,4,April,14,6,Sunday,1
464,2024-04-08,2024,2,4,April,15,0,Monday,0
465,2024-04-09,2024,2,4,April,15,1,Tuesday,0
466,2024-04-10,2024,2,4,April,15,2,Wednesday,0
467,2024-04-11,2024,2,4,April,15,3,Thursday,0
468,2024-04-12,2024,2,4,April,15,4,Friday,0
469,2024-04-13,2024,2,4,April,15,5,Saturday,1
470,2024-04-14,2024,2,4,April,15,6,Sunday,1
471,2024-04-15,2024,2,4,April,16,0,Monday,0
472,2024-04-16,2024,2,4,April,16,1,Tuesday,0
473,2024-04-17,2024,2,4,April,16,2,Wednesday,0
474,2024-04-18,2024,2,4,April,16,3,Thursday,0
475,2024-04-19,2024,2,4,April,16,4,Friday,0
476,2024-04-20,2024,2,4,April,16,5,Saturday,1
477,2024-04-21,2024,2,4,April,16,6,Sunday,1
